673533,91342,1480,8204
207289,18647,256,1707
1054156,39129,1236,10153
896693,49252,289,2247
408612,18862,207,0
351785,17879,386,2788
2755746,74180,10611,0
1075599,165371,1345,16237
687596,54691,1429,4529
550553,16346,196,875
5318708,252922,14229,24324
148120,3052,225,284
188530,9596,85,1666
402798,15463,472,990
1003601,63178,457,6578
4467893,297950,6369,15626
1078411,43937,611,6316
2252418,75942,1789,10228
2455037,210876,4738,19801
839973,53040,409,3746
735225,14264,437,1388
943952,18945,360,1886
737944,18515,305,871
1004266,79984,1435,5799
641884,9020,1690,1150
1392220,113934,1779,6995
7777735,425685,28512,71743
2472525,75346,25562,12833
2991529,156031,6658,20243
1059765,38503,941,3209
553954,4658,792,1299
2305989,129033,2482,0
1721052,32844,1307,3890
1695479,23355,2299,1342
1049061,7339,360,1855
1184884,24082,4285,4451
524880,13919,546,1891
1469816,28592,645,3904
3519483,19414,1334,6046
560094,42980,912,3454
1335685,62252,1907,13831
1776366,11456,3479,0
879781,28436,645,4900
1198481,26341,905,1839
870532,16445,283,931
9374655,89485,3233,7063
501618,21245,771,3251
644265,3127,1618,11334
848812,7233,3192,4129
1446507,64096,719,8583
727802,71590,1135,70675
955185,7593,6590,1595
699443,18877,4248,5728
2186881,185940,13753,40565
7394364,126457,12779,25853
405786,24090,6430,7813
822625,2534,1708,5940
1458192,53965,2876,4190
449092,2795,544,3150
989646,23791,1176,6917
12152765,963058,12109,60391
3340201,128494,3020,10643
3499561,187090,3386,14492
660319,1912,1987,5420
12715935,404348,5106,17833
1063929,70281,1500,3682
1135753,31573,1019,6695
21492889,1253527,30460,76268
22873313,1446774,36590,151600
686798,91182,235,6469
7170800,361537,9386,34630
3362282,247209,5144,16598
1018444,27571,683,1463
1908429,105213,2646,6591
373667,8539,169,710
1230291,139131,1230,13594
688891,4768,252,1749
2264688,82239,1424,2701
5695375,43175,1032,4087
6040868,75346,1499,4537
984168,39660,1258,2513
1117748,8451,617,1116
8975648,741716,4315,59360
403526,26773,200,996
760416,21921,599,885
0,0,0,0
1590587,26272,5550,11518
1677577,25927,1237,3282
236320,1920,208,330
18195428,580241,57885,64384
585566,26982,460,2298
1192941,28760,1525,3017
1158064,36695,1883,7401
2489837,159338,5106,16477
1183922,34039,1218,6229
711879,37516,453,2637
1230370,61549,1057,3233
1321274,28902,4690,6088
13881413,404764,11345,42086
2776128,154037,1554,20166
3931473,98969,2957,4957
15328877,407735,16907,22128
11756134,340860,7057,49429
7296206,621415,11037,60448
847917,14150,605,2149
1664663,78068,638,2941
4719951,271089,4306,58404
9617772,2142425,8932,228900
458767,6818,490,624
750546,9363,373,1956
4595439,38793,6181,3365
1641345,61295,797,5721
845822,19392,991,2861
1040113,32245,4086,9963
2809583,228701,1633,26739
2454665,71719,2233,6044
1465269,88264,2067,11427
809994,35253,719,2740
597276,55207,408,2540
1646119,30098,4956,2372
1958828,101287,20299,15742
66163,4218,24291,6044
33074904,1106993,28547,68184
3988190,84157,2171,2553
8467510,312474,3756,5645
3293747,95013,7402,6711
4317650,112862,2044,23607
3695293,160197,2823,6821
4273990,177388,2703,7157
6529851,40543,8108,4194
1934668,123148,8981,25719
409975,25360,417,1962
19764103,1084341,23445,188636
5627714,166835,5081,3927
32448362,1549605,32169,116232
1436003,48824,1953,7163
1943023,118351,1955,5916
476491,29360,506,2907
33257490,922827,14983,33821
535041,5026,177,764
773451,10946,575,949
4385441,341930,2422,29995
924715,29953,315,2582
6160230,276544,4453,19597
1388980,34265,1795,2544
3207929,108375,8275,16437
1466980,92070,835,3464
752259,11683,319,2255
1113304,18564,815,1477
2445201,216266,1628,15125
10518477,522636,3444,28316
35061163,924491,20573,42538
3877730,389954,3909,30112
3037886,75926,2200,10857
1114091,24084,895,1554
5817663,274410,3780,18434
5965205,231304,4189,12870
1223432,42112,2537,2665
630528,20639,2151,6396
11607145,288089,6240,10563
900752,95326,710,9017
19065204,623236,11556,22425
2367919,110425,733,8652
4610701,199900,2391,19797
2386184,45078,2554,3948
429035,15932,393,2097
1124860,68075,694,4082
12527999,105946,6765,7214
3102573,31448,3799,4105
850334,12235,478,2602
1833968,29239,926,4022
1798139,80951,6967,14967
24446850,499582,27212,34456
2918462,188727,2661,19499
1784759,34948,4816,4791
636037,24166,2034,2421
3903811,295961,8092,31344
3286981,168571,3267,18665
47211591,866323,35216,65306
3333408,181171,1293,9517
852002,9955,618,1571
1536669,87553,2140,10228
141798931,2301421,121184,113546
19571414,342689,23100,36489
522968,18347,479,2575
9195442,196890,2574,10180
10332544,438677,13023,23506
2937797,85387,3838,10378
4859222,146738,3360,16852
267042584,4736843,244914,201283
5392631,405884,15085,39784
2145039,164385,923,9500
1850878,59920,2358,8437
18707141,919429,9628,41655
10081177,214880,14110,13008
7768857,31480,2165,7496
28130203,414746,13920,16763
1691637,125891,1414,7134
921422,32513,587,2487
565178,10606,412,771
