title,score,brief
大秧歌,7.3,文武秧歌名分之争
信箱,6.1,熊乃瑾艳绝恐怖夜
但愿人长久,8.9,
幸福额度,7.9,廖凡恋御姐林志玲
好人合算,8.3,劳改人员回馈社会
百年情书,7.6,烈士挥泪写与妻书
爱情进化论,6.8,郭碧婷饰萌花女神
后厨,7.2,潘金莲化妩媚厨娘
心灵深处,6.3,刘晓庆美丽又大方
爱情呼叫转移,8.1,美女如云夹击徐峥
出路下部,6.0,大刀阔斧改革创新
乡恋,6.2,自由恋爱开花结果
一个女人的命,8.2,农村妇女丈夫家暴
李献计历险记,8.4,房祖名穿越寻找爱
刺陵,7.5,周杰伦携手林志玲
红月亮,8.0,纯情少女惨遭强暴
姑娘的心愿,5.9,患癌医生捐献角膜
边境风云,8.2,孙红雷恋上王珞丹
桃色旋风,5.9,毒品大案跨境侦破
露水红颜,7.7,刘亦菲痴情做模特
惊情,8.3,昔日情人反目成仇
光棍之家,6.0,爆笑姻缘欢脱喜乐
蜜月到永远,6.1,福利分房矛盾频出
硬汉2奉陪到,7.3,刘烨再饰憨傻英雄
桃花扇,7.6,青楼名妓出家为尼
相爱,8.6,执子之手只为真爱
戒指,5.9,婚戒丢失挽回激情
搞定岳父大人,7.3,徐峥拜见岳父大人
白秋练,7.2,聊斋经典故事改编
美好时光,6.5,领悟生活自由舞动
黑山红杏,5.9,红杏被卖遇人不淑
爱爱囧事,7.8,萌派治愈青春喜剧
恋爱大赢家,7.2,林志颖牵手刘亦菲
都市夜归人,6.0,爱情专家遭遇小三
热巴,7.4,草原青年迷失自我
新邻居,5.9,前女友变成新邻居
潜网,7.5,爱情和梦想的故事
女朋友男朋友,5.8,危机变成生日惊喜
天机·富春山,7.0,林志玲演百变虐恋
遗落荒原的爱,8.0,宋佳陷入情感纠葛
缘份的天空,6.1,姜武何冰正面交锋
功夫老爸,7.0,续写《少林足球》
街上流行红裙,7.8,改革开放思想转变
我是路人甲,9.0,真实龙套草根逆袭
柠檬,7.4,韩国主播内地姻缘
不敢说爱你,7.5,林申演绎温馨爱情
最美的时候遇,7.0,清纯女倒追小鲜肉
远山情,5.9,陈红早年盛世美颜
从今以后,6.4,
青春派,7.9,传媒大奖最佳影片
罪恶,6.4,变态杀人惊现女尸
决不妥协,8.7,何冰、王琳饰情侣
越来越好之村,6.6,超强卡司牛逼贺岁
珍珠衫,7.2,寂寞娇妻红杏出墙
赢家,7.4,邵兵宁静残缺爱情
爱情与遗产,8.5,高干子弟爱情故事
辣嫂,7.5,
梨花雨,5.9,女村长爱上养蜂人
父子婚事,7.3,葛优秃头恋爱受挫
花姊妹风流债,5.9,青涩瞿颖泼辣鲜亮
马文的战争,7.2,实力戏骨大飚演技
暗香,6.4,修脚工的爱情物语
女模特的风波,6.1,人体模特引发风波
爱我别错过,6.5,中国版的野蛮女友
山村趣事,5.9,弘扬新农村新气象
多情的小和尚,8.0,童年记忆欢闹喜剧
战国,7.5,孙红雷赛马出风头
女儿经,8.6,妙女郎巧治无情夫
桃花扇,6.7,李香君血溅定情物
除夕前一分钟,5.9,除夕之夜劝和情侣
出路上部,6.0,历经挫折终见曙光
超时空救兵,6.6,景甜戏中丑绝人寰
恋曲2005,6.7,服务员卷入犯罪案
状元媒,8.1,京剧电影国粹传承
桑吉卓玛,5.9,草原绝恋感天动地
楼上楼下,6.7,台湾名模变成寡妇
